AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
12,<20,2016,0
12,20-24,2016,0
12,25-29,2016,0
12,30-34,2016,0
12,35-39,2016,0
12,40-44,2016,0
12,45-49,2016,0
12,50-54,2016,0
12,55-59,2016,0
12,60-64,2016,0
12,65+,2016,0
12,Not Stated,2016,0
13,<20,2016,0
13,20-24,2016,0
13,25-29,2016,0
13,30-34,2016,0
13,35-39,2016,0
13,40-44,2016,0
13,45-49,2016,0
13,50-54,2016,0
13,55-59,2016,0
13,60-64,2016,0
13,65+,2016,0
13,Not Stated,2016,0
14,<20,2016,0
14,20-24,2016,0
14,25-29,2016,0
14,30-34,2016,0
14,35-39,2016,0
14,40-44,2016,0
14,45-49,2016,0
14,50-54,2016,0
14,55-59,2016,0
14,60-64,2016,0
14,65+,2016,0
14,Not Stated,2016,0
15,<20,2016,3
15,20-24,2016,0
15,25-29,2016,0
15,30-34,2016,0
15,35-39,2016,0
15,40-44,2016,0
15,45-49,2016,0
15,50-54,2016,0
15,55-59,2016,0
15,60-64,2016,0
15,65+,2016,0
15,Not Stated,2016,3
16,<20,2016,10
16,20-24,2016,2
16,25-29,2016,0
16,30-34,2016,0
16,35-39,2016,0
16,40-44,2016,0
16,45-49,2016,0
16,50-54,2016,0
16,55-59,2016,0
16,60-64,2016,0
16,65+,2016,0
16,Not Stated,2016,8
17,<20,2016,15
17,20-24,2016,9
17,25-29,2016,2
17,30-34,2016,1
17,35-39,2016,0
17,40-44,2016,0
17,45-49,2016,0
17,50-54,2016,0
17,55-59,2016,0
17,60-64,2016,0
17,65+,2016,0
17,Not Stated,2016,15
18,<20,2016,26
18,20-24,2016,27
18,25-29,2016,8
18,30-34,2016,2
18,35-39,2016,0
18,40-44,2016,0
18,45-49,2016,0
18,50-54,2016,0
18,55-59,2016,0
18,60-64,2016,0
18,65+,2016,0
18,Not Stated,2016,22
19,<20,2016,27
19,20-24,2016,60
19,25-29,2016,18
19,30-34,2016,1
19,35-39,2016,2
19,40-44,2016,2
19,45-49,2016,0
19,50-54,2016,0
19,55-59,2016,0
